award,years,link,source_url,extraction_date
Abby Greer Award,2004 - 2025,https://www.baseball-almanac.com/awards/Abby_Greer_Award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
All-MLB Team,2019 - 2024,https://www.baseball-almanac.com/awards/All-MLB_Team.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
All-Star Game Most Valuable Player Award,1962 - 2024,https://www.baseball-almanac.com/awards/aw_mvpa.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
American Legion Player of the Year,1949 - 2024,https://www.baseball-almanac.com/awards/american_legion_player_of_the_year.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Arizona Fall League Breakout Prospect of the Year,2021 - 2024,https://www.baseball-almanac.com/awards/AFL_Breakout_Player_of_the_Year.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Arizona Fall League Defensive Player of the Year,2021 - 2024,https://www.baseball-almanac.com/awards/AFL_Defensive_Player_of_the_Year.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Arizona Fall League Most Valuable Player,2002 - 2024,https://www.baseball-almanac.com/awards/Joe_Black_MVP_Award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Arizona Fall League Offensive Player of the Year,2021 - 2024,https://www.baseball-almanac.com/awards/AFL_Hitter_of_the_Year.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Arizona Fall League Pitcher of the Year,2021 - 2024,https://www.baseball-almanac.com/awards/AFL_Pitcher_of_the_Year.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Arizona Fall League Reliever of the Year,2021 - 2024,https://www.baseball-almanac.com/awards/AFL_Reliever_of_the_Year.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Associated Press All-Star Award & Teams,1982 - 2000 | Discontinued in 2001,https://www.baseball-almanac.com/awards/aw_apas.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Associated Press Athlete of the Year Award,1931 - 2001 | Discontinued in 2001,https://www.baseball-almanac.com/awards/aw_apr.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
